timestamp,magnetometer_ga[0],magnetometer_ga[1],magnetometer_ga[2]
822192722,0.129924,-0.157192,0.505252
822215595,0.129924,-0.157192,0.508375
822236721,0.129924,-0.157192,0.505252
822257594,0.132912,-0.157192,0.505252
822279280,0.132912,-0.157192,0.502128
822301645,0.132912,-0.157192,0.502128
822324716,0.132912,-0.157192,0.502128
822346656,0.135899,-0.160163,0.502128
822369594,0.135899,-0.157192,0.499004
822391782,0.135899,-0.157192,0.499004
822415711,0.135899,-0.157192,0.502128
822439711,0.135899,-0.157192,0.502128
822462655,0.135899,-0.157192,0.505252
822484003,0.135899,-0.157192,0.505252
822504722,0.135899,-0.157192,0.502128
822527939,0.132912,-0.157192,0.502128
822551736,0.135899,-0.157192,0.505252
822574663,0.132912,-0.157192,0.508375
822597594,0.132912,-0.154222,0.502128
822617596,0.132912,-0.154222,0.505252
822638659,0.126937,-0.154222,0.508375
822660114,0.129924,-0.154222,0.499004
822681594,0.126937,-0.154222,0.505252
822703746,0.126937,-0.154222,0.508375
822727700,0.123949,-0.157192,0.502128
822751774,0.126937,-0.157192,0.505252
822772729,0.126937,-0.157192,0.505252
822793607,0.123949,-0.157192,0.505252
822814654,0.126937,-0.157192,0.502128
822836302,0.123949,-0.157192,0.502128
822857648,0.126937,-0.157192,0.502128
822878707,0.126937,-0.157192,0.502128
822899645,0.126937,-0.157192,0.511499
822922655,0.129924,-0.157192,0.502128
822943594,0.129924,-0.157192,0.502128
822963610,0.129924,-0.154222,0.502128
822985612,0.129924,-0.154222,0.508375
823006659,0.129924,-0.154222,0.505252
823026654,0.129924,-0.154222,0.505252
823048539,0.129924,-0.154222,0.502128
823070331,0.126937,-0.154222,0.502128
823091526,0.126937,-0.157192,0.505252
823114654,0.126937,-0.157192,0.508375
823135594,0.126937,-0.154222,0.505252
823157595,0.123949,-0.157192,0.505252
823178661,0.123949,-0.157192,0.505252
823199601,0.120961,-0.157192,0.508375
823222654,0.114986,-0.154222,0.508375
823243592,0.114986,-0.157192,0.505252
823266654,0.114986,-0.157192,0.505252
823287594,0.114986,-0.157192,0.505252
823309946,0.111999,-0.154222,0.505252
823330654,0.111999,-0.154222,0.511499
823351597,0.111999,-0.154222,0.508375
823371594,0.111999,-0.154222,0.508375
823393951,0.111999,-0.154222,0.505252
823417998,0.111999,-0.154222,0.508375
823442020,0.111999,-0.154222,0.505252
823465949,0.114986,-0.154222,0.508375
823488521,0.117974,-0.154222,0.505252
823509938,0.117974,-0.154222,0.514622
823533059,0.120961,-0.154222,0.505252
823554657,0.120961,-0.154222,0.505252
823575594,0.120961,-0.154222,0.505252
823597701,0.123949,-0.154222,0.505252
823619594,0.120961,-0.154222,0.505252
823642015,0.120961,-0.157192,0.505252
823665985,0.120961,-0.157192,0.505252
823689964,0.120961,-0.157192,0.505252
823713889,0.120961,-0.160163,0.505252
823736458,0.123949,-0.157192,0.511499
823757933,0.123949,-0.160163,0.505252
823779613,0.123949,-0.160163,0.505252
823801615,0.117974,-0.160163,0.505252
823823605,0.120961,-0.160163,0.505252
823846656,0.123949,-0.160163,0.502128
823867594,0.123949,-0.157192,0.505252
823890149,0.123949,-0.157192,0.508375
823914161,0.126937,-0.157192,0.505252
823938118,0.123949,-0.160163,0.505252
823962150,0.126937,-0.157192,0.502128
823983595,0.123949,-0.154222,0.505252
824006470,0.123949,-0.154222,0.505252
824028653,0.120961,-0.154222,0.505252
824050663,0.120961,-0.154222,0.505252
824074119,0.123949,-0.154222,0.502128
